district, date, card, age, position
kvichak, 19770705, 27, 2, 1
kvichak, 19770705, 27, 2, 2
kvichak, 19770705, 27, 2, 3
kvichak, 19770705, 27, 2, 4
kvichak, 19770705, 27, 2, 5
kvichak, 19770705, 27, 2, 6
kvichak, 19770705, 27, 2, 7
kvichak, 19770705, 27, 2, 9
kvichak, 19770705, 27, 2, 10
kvichak, 19770705, 27, 2, 12
kvichak, 19770705, 27, 2, 13
kvichak, 19770705, 27, 2, 14
kvichak, 19770705, 27, 2, 15
kvichak, 19770705, 27, 2, 18
kvichak, 19770705, 27, 2, 19
kvichak, 19770705, 27, 2, 20
kvichak, 19770705, 27, 2, 22
kvichak, 19770705, 27, 2, 23
kvichak, 19770705, 27, 2, 24
kvichak, 19770705, 27, 2, 25
kvichak, 19770705, 27, 2, 26
kvichak, 19770705, 27, 2, 27
kvichak, 19770705, 27, 2, 28
kvichak, 19770705, 27, 2, 30
kvichak, 19770705, 27, 2, 31
kvichak, 19770705, 27, 2, 32
kvichak, 19770705, 27, 2, 33
kvichak, 19770705, 27, 2, 35
kvichak, 19770705, 27, 2, 37
kvichak, 19770705, 27, 2, 38
kvichak, 19770705, 27, 3, 11
kvichak, 19770705, 27, 3, 21
kvichak, 19770705, 28, 3, 11
kvichak, 19770705, 28, 3, 21
kvichak, 19770705, 28, 3, 27
